host,start,end,record,booked
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1568016000000,1568018700000,2019-37-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1568620800000,1568623500000,2019-38-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1569225600000,1569228300000,2019-39-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1569830400000,1569833100000,2019-40-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1570435200000,1570437900000,2019-41-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1571040000000,1571042700000,2019-42-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1571644800000,1571647500000,2019-43-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1572253200000,1572255900000,2019-44-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1572858000000,1572860700000,2019-45-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1573462800000,1573465500000,2019-46-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1574067600000,1574070300000,2019-47-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1574672400000,1574675100000,2019-48-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1575277200000,1575279900000,2019-49-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1575882000000,1575884700000,2019-50-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1576486800000,1576489500000,2019-51-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1577091600000,1577094300000,2019-52-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1577696400000,1577699100000,2020-01-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1578301200000,1578303900000,2020-02-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1578906000000,1578908700000,2020-03-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1579510800000,1579513500000,2020-04-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1580115600000,1580118300000,2020-05-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1580720400000,1580723100000,2020-06-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1581325200000,1581327900000,2020-07-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1581930000000,1581932700000,2020-08-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1582534800000,1582537500000,2020-09-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1583139600000,1583142300000,2020-10-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1583744400000,1583747100000,2020-11-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1584349200000,1584351900000,2020-12-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1584954000000,1584956700000,2020-13-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1585555200000,1585557900000,2020-14-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1586160000000,1586162700000,2020-15-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1586764800000,1586767500000,2020-16-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1587369600000,1587372300000,2020-17-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1587974400000,1587977100000,2020-18-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1588579200000,1588581900000,2020-19-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1589184000000,1589186700000,2020-20-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1589788800000,1589791500000,2020-21-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1590393600000,1590396300000,2020-22-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1590998400000,1591001100000,2020-23-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1591603200000,1591605900000,2020-24-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1592208000000,1592210700000,2020-25-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1592812800000,1592815500000,2020-26-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1593417600000,1593420300000,2020-27-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1594022400000,1594025100000,2020-28-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1594627200000,1594629900000,2020-29-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1595232000000,1595234700000,2020-30-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1595836800000,1595839500000,2020-31-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1596441600000,1596444300000,2020-32-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1597046400000,1597049100000,2020-33-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1597651200000,1597653900000,2020-34-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1598256000000,1598258700000,2020-35-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1598860800000,1598863500000,2020-36-Mon 10:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1568019600000,1568022300000,2019-37-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1568624400000,1568627100000,2019-38-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1569229200000,1569231900000,2019-39-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1569834000000,1569836700000,2019-40-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1570438800000,1570441500000,2019-41-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1571043600000,1571046300000,2019-42-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1571648400000,1571651100000,2019-43-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1572256800000,1572259500000,2019-44-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1572861600000,1572864300000,2019-45-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1573466400000,1573469100000,2019-46-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1574071200000,1574073900000,2019-47-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1574676000000,1574678700000,2019-48-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1575280800000,1575283500000,2019-49-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1575885600000,1575888300000,2019-50-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1576490400000,1576493100000,2019-51-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1577095200000,1577097900000,2019-52-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1577700000000,1577702700000,2020-01-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1578304800000,1578307500000,2020-02-Mon 11:00 (45 min),
fad10aa0-e78c-46f2-a071-fb64da28c4bf,1578909600000,1578912300000,2020-03-Mon 11:00 (45 min),
